手机型号,价格,评价条数,店铺名
Redmi Note 11 5G 天玑810 33W Pro快充 5000mAh大电池 6GB +128GB 神秘黑境 智能 小米 红米,￥1099.00,100万+条评价条评价,小米京东自营旗舰店
荣耀Play6T Pro 天玑810 40W超级快充 6nm疾速芯 4800万超清双摄 全网通 5G手机 8GB+256GB 钛空银,￥1399.00,10万+条评价,荣耀京东自营旗舰店
小米13 徕卡光学镜头 第二代骁龙8处理器 超窄边屏幕 120Hz高刷,￥4599.00,2万+条评价,小米京东自营旗舰店
荣耀X40 120Hz OLED硬核曲屏 5100mAh 快充大电池 7.9mm轻薄设计 5G手机 8GB+128GB 彩云追月,￥1699.00,20万+条评价,荣耀京东自营旗舰店
OPPO K10x 极光 8GB+128GB 67W超级闪充 5000mAh长续航 120Hz高帧屏 6400万三摄 高通骁龙695 拍照 5G,￥1499.00,5万+条评价,OPPO京东自营官方旗舰店
荣耀X30 骁龙6nm疾速5G芯 66W超级快充 120Hz全视屏 全网通版 8GB+128GB 钛空银,￥1399.00,50万+条评价,荣耀京东自营旗舰店
小米13Pro徕卡光学镜头 120W秒充 2K曲面屏,￥5799.00,2万+条评价,小米京东自营旗舰店
vivo iQOO U5x 8GB+128GB极昼蓝 骁龙680 5000mAh大电池 6.51英寸大屏幕 智慧三摄 全网通智能,￥1099.00,10万+条评价,iQOO京东官方自营旗舰店
OPPO A55s 8GB+128GB 轻快蓝 双模5G 超大存储 5000mAh超大电池 长续航 后置AI三摄 超清画质 拍照,￥1099.00,10万+条评价,OPPO京东自营官方旗舰店
realme真我Q5 6nm骁龙5G芯 60W智慧闪充 5000mAh超大电池 8GB+256GB 冰河斩浪 5G智能,￥1399.00,2万+条评价,真我realme京东自营旗舰店
荣耀70 IMX800三主摄 双曲屏设计 高通骁龙778G Plus 66W快充 5G手机 8GB+256GB 墨玉青,￥2299.00,20万+条评价,荣耀京东自营旗舰店
Redmi 12C Helio G85 性能芯 5000万高清双摄 5000mAh长续航 4GB+64GB 暗影黑 智能 小米红米,￥699.00,1000+条评价条评价,小米京东自营旗舰店
Redmi K60 骁龙8+处理器 2K高光屏 6400万超清相机 5500mAh长续航 8GB+256GB 墨羽 小米红米5G【套装版】,￥2748.00,2000+条评价,小米京东自营旗舰店
荣耀X40 GT 骁龙888旗舰芯 144Hz高刷电竞屏 66W超级快充 5G手机 12GB+256GB 幻夜黑,￥2399.00,5万+条评价,荣耀京东自营旗舰店
OPPO K9x 8GB+128GB 银紫超梦 天玑810 5000mAh长续航 33W快充 90Hz电竞屏 6400万三摄 拍照5Goppok9x,￥1299.00,去看二手,50万+条评价
Redmi Note12 5G 120Hz OLED屏幕 骁龙4移动平台 5000mAh长续航 6GB+128GB子夜黑 智能 小米红米,￥1299.00,5万+条评价,小米京东自营旗舰店
Apple iPhone 13 (A2634) 128GB 粉色 支持移动联通电信5G 双卡双待,￥4799.00,500万+条评价,Apple产品京东自营旗舰店
荣耀Play6T 6.74英寸高刷护眼屏 侧边指纹解锁 5000mAh大电池 全网通 5G手机 8GB+128GB 钛空银,￥1099.00,20万+条评价,荣耀京东自营旗舰店
【爆款热销】Note12Pro 5G 旗舰影像 光学防抖,￥1799.00,5万+条评价,小米京东自营旗舰店
乐视Letv Y1Pro+新款八核智能手机128GB可用5G移动联通电信卡超薄大屏游戏学生老人便宜备用长续航 星空蓝,￥599.00,2000+条评价,乐视LETV京东自营旗舰店
荣耀Magic Vs 第一代骁龙8+移动平台 5000mAh大电池 66W超级快充 5G手机 12GB+256GB 燃橙色,￥7999.00,2000+条评价,荣耀京东自营旗舰店
荣耀80 1.6亿像素超清主摄 AI Vlog视频大师 全新Magic OS 7.0系统 5G手机 8GB+256GB 碧波微蓝,￥2699.00,2万+条评价,荣耀京东自营旗舰店
华为畅享 50 Pro 5000mAh大电池超能续航 6.7英寸无界全视屏 5000万像素超清影像 256G 幻夜黑 华为鸿蒙,￥1799.00,5万+条评价,华为京东自营官方旗舰店
爱心东东,￥799.00,新款关爱心X13 Pro真八核智能手机可用5G移动联通电信卡4g全网通游戏超薄百元便宜学生大屏老人机 尊贵黑【8+256GB】,5000+条评价
HUAWEI Mate 50 直屏旗舰 超光变XMAGE影像 北斗卫星消息 低电量应急模式 128GB曜金黑华为鸿蒙,￥4769.00,5万+条评价条评价,华为京东自营官方旗舰店
Redmi K40S 骁龙870 三星E4 AMOLED 120Hz直屏 OIS光学防抖 亮黑 12GB+256GB 5G智能 小米红米,￥1898.00,去看二手,50万+条评价
京品手机,￥2099.00,OPPO 一加 Ace 竞速版 12GB+256GB竞技灰享OPPO官方售后 天玑8100-MAX 120Hz变速电竞直屏游戏稳帧引擎5G,10万+条评价
Redmi 红米Note11 5G智能游戏拍照手机天玑810 5000mAh大电池小米新品 神秘黑境 6GB+128GB,￥1199.00,5万+条评价,小米手机官方旗舰店
荣耀畅玩20 5000mAh超大电池续航 6.5英寸大屏 莱茵护眼 4GB+128GB 钛空银 双卡双待 全网通,￥869.00,100万+条评价,荣耀京东自营旗舰店
Redmi Note 11 5G 天玑810 5000mAh大电池 立体声双扬声器 8GB+256GB 浅梦星河 优选,￥1199.00,5000+条评价,京东手机优选自营旗舰店
HUAWEI Mate 50 直屏旗舰 超光变XMAGE影像 北斗卫星消息 低电量应急模式 128GB曜金黑华为鸿蒙,￥4769.00,5万+条评价,华为京东自营官方旗舰店
Redmi Note12Pro+ 5G 2 亿像素 OIS光学防抖 OLED柔性直屏 12GB+256GB时光蓝 智能 小米红米,￥2199.00,2万+条评价,小米京东自营旗舰店
Apple iPhone 13 (A2634) 128GB 午夜色 支持移动联通电信5G 双卡双待手机【赠卡首月免月租】,￥5399.00,2万+条评价,中国移动终端京东自营旗舰店
realme真我10s 天玑810 5G疾速芯 5000mAh大电池+33W智慧闪充 1080P超清护眼屏 8GB+128GB 流光蓝 5G,￥1099.00,2000+条评价,真我realme京东自营旗舰店
vivo iQOO Neo6 SE 8GB+256GB 霓虹 高通骁龙870 双电芯80W闪充 OIS光学防抖 双模5G全网通iqooneo6se,￥2299.00,20万+条评价,iQOO京东官方自营旗舰店
OPPO K10 月岩白 8GB+256GB 天玑 8000-MAX 金刚石VC液冷散热 120Hz高帧变速屏 旗舰5G,￥1999.00,去看二手,10万+条评价
Redmi 12C Helio G85 性能芯 5000万高清双摄 5000mAh长续航 4GB+64GB 暗影黑 智能 小米红米,￥699.00,1000+条评价,小米京东自营旗舰店
Apple iPhone 14 (A2884) 128GB 紫色 支持移动联通电信5G 双卡双待手机 【新年物流不打烊】iPhone14到手价低至5399起，14Plus到手价低至6199起！！！点击,￥5399.00,100万+条评价,Apple产品京东自营旗舰店
华为畅享 50 6000mAh大电池 22.5W超能续航 6.75英寸影音大屏 双卡双待 智能手机 6G+128GB 幻夜黑 鸿蒙,￥1199.00,10万+条评价,华为京东自营官方旗舰店
vivo iQOO 10 12GB+256GB 赛道版 第一代骁龙8+ 自研芯片V1+ E5超视网膜屏 120W超快闪充 5G电竞,￥3199.00,1000+条评价,京东手机优选自营旗舰店
realme 真我GT2 Pro 全新一代骁龙8 2K无级变帧屏 50MP旗舰双主摄 8GB+256GB 锻黑 5G,￥2599.00,2万+条评价,真我realme京东自营旗舰店
vivo iQOO Z6x 6GB+128GB 黑镜 6000mAh巨量电池 44W闪充 6nm强劲芯 5G智能iqooz6x,￥1199.00,5万+条评价,iQOO京东官方自营旗舰店
一加 11 优雅处 见实力 未来性能引领者 5G手机,￥4399.00,0条评价,一加手机京东自营官方旗舰店
OPPO Reno9 8GB+256GB 微醺 6400万水光人像镜头 120Hz OLED超清曲面屏 4500mAh大电池 7.19mm轻薄 5G,￥2499.00,2万+条评价,OPPO京东自营官方旗舰店
vivo iQOO Neo6 SE 12GB+256GB 霓虹 高通骁龙870 双电芯80W闪充 OIS光学防抖 双模5G全网通,￥2069.00,5000+条评价,京东手机优选自营旗舰店
vivo iQOO Neo7 12GB+256GB 几何黑 天玑9000+ 独显芯片Pro+ E5柔性直屏 120W超快闪充 5G全网通iqooneo7,￥3299.00,5万+条评价,iQOO京东官方自营旗舰店
vivo S16 8GB+256GB 颜如玉 高通骁龙870 前置5000万追焦人像 原彩柔光环 66W闪充 5G 拍照,￥2699.00,5000+条评价,vivo京东自营官方旗舰店
vivo Y32t 8GB+128GB 午夜黑 5000mAh大电池 潮流轻薄外观 疾速侧面指纹 全网通智能,￥968.00,2万+条评价,vivo京东自营官方旗舰店
【爆款热销】Note 11 5G 天玑810,￥1099.00,100万+条评价,小米京东自营旗舰店
HUAWEI nova 10 SE 一亿像素质感人像 4500mAh长续航 轻薄机身128GB 10号色 华为,￥1949.00,1万+条评价,华为京东自营官方旗舰店
爱心东东,￥1199.00,华为智选 优畅享50plus 5G手机华为智选 雅致黑 8GB+128GB【品牌66W充电套装】,5000+条评价
OPPO 一加 Ace Pro 16GB+256GB 黑森 享OPPO官方售后 骁龙8+旗舰芯 长寿版150W闪充 游戏稳帧引擎 5G游戏,￥3769.00,10万+条评价,一加手机京东自营官方旗舰店
Apple iPhone 14 Pro Max (A2896) 256GB 暗紫色 支持移动联通电信5G 双卡双待手机【大王卡】,￥9419.00,2万+条评价,中国联通京东自营旗舰店
OPPO 一加 Ace 12GB+256GB 开黑 享OPPO官方售后 天玑8100-MAX 150W闪充 120Hz电竞直屏 游戏独显芯片 5G,￥2599.00,10万+条评价,一加手机京东自营官方旗舰店
vivo iQOO Neo7 12GB+256GB 波普橙 天玑9000+ 独显芯片Pro+ E5柔性直屏 120W超快闪充 5G全网通iqooneo7,￥3299.00,5万+条评价,iQOO京东官方自营旗舰店
>,<,￥699.00,Redmi 10A 5000mAh大电量 1300万AI相机 八核处理器 指纹解锁 4GB+64GB 暗影黑 智能 小米 红米
摩托罗拉moto edge S30冠军版 骁龙888+ 1亿像素 144Hz电竞屏 5000mAh大电池 5G 12GB+512GB 魅影黑,￥2399.00,2万+条评价,摩托罗拉手机京东自营官方旗舰店
vivo iQOO Z6 8GB+128GB 星海 80W闪充 6400万像素光学防抖 骁龙778G Plus 5G智能iqooz6,￥1399.00,2000+条评价,京东手机优选自营旗舰店
vivo iQOO Z5 12GB+256GB 蓝色起源 骁龙778G 5000mAh长续航 120Hz高刷原色屏 双模5G全网通iqooz5,￥1999.00,20万+条评价,iQOO京东官方自营旗舰店
vivo iQOO U5x 8GB+128GB星光黑 骁龙680 5000mAh大电池 6.51英寸大屏幕 智慧三摄 全网通智能,￥809.00,500+条评价,京东手机优选自营旗舰店
